Row,Name,Address,Contact,Latitude,Longitude
1,Mercury Drugs,Partelo St. Zone 2 Bangued 2800 Abra,(074) 752-8152 / (074) 655-0001,17.60305,120.61889
2,Mercury Drugs,Taft Ave. Zone V Bangued 2800 Abra,(074) 752-5852 / (074) 655-0043,17.596566,120.617999
3,Mercury Drugs,SSBF Bldg. Mora St. cor. Magsaysay Ave. Brgy. 8 (Poblacion) Bacacay 4509 Albay,(),39.390897,-99.066067
4,Mercury Drugs,Bicol University Arcade Rizal St. Daraga 4501 Albay,(052) 483-4151 / (052) 824-1438,13.14818,123.71269
5,Mercury Drugs,"Ayala Malls Legazpi, Quezon Ave. cor. Los Banos St. Capantawan Legazpi City 4500 Albay",(052) 2010464,13.14665,123.75409
6,Mercury Drugs,"GTS Bldg., Rizal St., Old Albay District, None 4500 Albay",(052) 480-5129,13.13712,123.74024
7,Mercury Drugs,"Del Rosario Bldg., Rizal St., Legazpi City 4500 Albay",(052) 480-5136,13.13712,123.74024
8,Mercury Drugs,"Rivero Bldg., Washington Drive, Bagumbayan,Old Albay District, Legazpi City 4500 Albay",(052) 481-0988,13.13407,123.73855
9,Mercury Drugs,"McKinley St., Purok 1, Calzada Ligao City 4504 Albay",(052) 485-1150,13.241165,123.537358
10,Mercury Drugs,LCC Mall Polangui 2 Purok Cepres Basud Polangui City 4506 Albay,(),39.390897,-99.066067
11,Mercury Drugs,"Ubaliw, Polangui 4506 Albay",(052) 486-1150,13.293769,123.484389
12,Mercury Drugs,Ziga Ave. cor. Bocalbos St. Basud Tabaco City 4511 Albay,(052) 487-7010 / (052) 830-1164,13.216667,123.55
13,Mercury Drugs,Quezon St. Baler 3200 Aurora,(042) 722-0008 / (042) 724-0148,15.759466,121.561569
14,Mercury Drugs,Paterno St. Balanga City 2100 Bataan,(047) 237-5269 / (047) 237-9974,14.679567,120.540969
15,Mercury Drugs,Public Market Balanga City 2100 Bataan,(047) 791-1818 / (047) 237-0868,14.68281,120.52566
16,Mercury Drugs,Rizal St. Balanga City 2100 Bataan,(047) 237-5270 / (047) 237-9977,14.679567,120.540969
17,Mercury Drugs,Roman Superhway Tenejero None 2100 Bataan,(047) 633-3658,14.67767,120.52287
18,Mercury Drugs,G/F WBLN 042 Waltermart Balanga Roman Superhighway Tenejero Balanga City 2100 Bataan,(),14.67477,120.52245
19,Mercury Drugs,Public Market Nat'l Hway Dinalupihan 2110 Bataan,(047) 636-1126,14.89129,120.43991
20,Mercury Drugs,DGDL Bldg. 17 Lakandula St. Poblacion Mariveles 2105 Bataan,(047) 633-0560 / (047) 633-0545,14.43399,120.48801
21,Mercury Drugs,Nat'l Hway Poblacion None 2112 Bataan,(047) 237-0113 / (047) 431-4801,39.390897,-99.066067
22,Mercury Drugs,National Rd. Arellano Orion 2102 Bataan,(),14.62271,120.57688
23,Mercury Drugs,Bataan Freeway Center Point Bldg. Annex Roman Superhway Alauli Pilar 2101 Bataan,(047) 613-4941,14.64345,120.54041
24,Mercury Drugs,Damballelos St. Balayan 4213 Batangas,(043) 740-0361,13.935342,120.730277
25,Mercury Drugs,Waltermart Center Balayan Balibago Balayan Highway cor. Paz St. Caloocan Balayan 4213 Batangas,(043) 741-0934,13.95004,120.72453
26,Mercury Drugs,Caedo Commercial Center Batangas City 4200 Batangas,(043) 722-0544 / (043) 980-2559,13.80854,121.05923
27,Mercury Drugs,Transit Point Grand Terminal Diversion Rd. Alangilan Batangas City 4200 Batangas,(043) 7833050,13.756122,121.057754
28,Mercury Drugs,Public Market Diego Silang St. Batangas City 4200 Batangas,(043) 723-9016 / (043) 723-9977,13.75957,121.06176
29,Mercury Drugs,Dona Manuela Pastor Rd. Pallocan West Batangas City 4200 Batangas,(043) 722-2777,13.756122,121.057754
30,Mercury Drugs,S.O.S. Bldg. Rizal St. Batangas City 4200 Batangas,(043) 723-2438,13.7565,121.06161
31,Mercury Drugs,"Waltermart Mall Nat'l Hway Purok 2, Calicanto Batangas City 4200 Batangas",(043) 7867072,13.79005,121.07698
32,Mercury Drugs,Capitan Ponso St. None 4201 Batangas,(043) 727-3368,13.916453,121.086488
33,Mercury Drugs,Nat'l Hway Brgy. IV Poblacion Calaca 4212 Batangas,(043) 741-0471,13.916453,121.086488
34,Mercury Drugs,Rodesson Bldg. Nat'l Hway Kumintang Ilaya Batangas City 4200 Batangas,(043) 7221884,13.77271,121.0675
35,Mercury Drugs,Ilustre St. Lemery 4209 Batangas,(043) 740-1191 / (043) 411-2078,13.883728,120.91329
36,Mercury Drugs,Xentro Mall Nat'l Rd. Malinis Lemery 4209 Batangas,(043) 740-4288,13.89928,120.90164
37,Mercury Drugs,Big Ben Complex J.P. Laurel Hway Lipa City 4217 Batangas,(043) 740-1432 / (043) 741-5032,14.01016,121.16514
38,Mercury Drugs,C.M. Recto St. cor P. Torres St. Lipa City 4217 Batangas,(043) 756-3464,13.94627,121.163498
39,Mercury Drugs,J.P. Laurel Hway Lipa City 4217 Batangas,(043) 702-5034 / (043) 784-2166,13.94627,121.163498
40,Mercury Drugs,P. Torres St. Lipa City 4217 Batangas,(043) 756-5364,13.94627,121.163498
41,Mercury Drugs,Puregold Price Club Gen. Luna St. cor. D.P. Laygo St. Poblacion Brgy. 10 Lipa City 4217 Batangas,(043) 7234921,13.94402,121.16671
42,Mercury Drugs,Robinson's Place J.P. Laurel Hway Lipa City 4217 Batangas,(043) 757-3628 / (043) 702-4170,13.94627,121.163498
43,Mercury Drugs,J.P. Laurel Nasugbu 4231 Batangas,(043) 740-1409,14.058618,120.637875
44,Mercury Drugs,Waltermart Nasugbu J.P. Laurel Rd. Lumbangan Nasugbu 4231 Batangas,(043) 7410194,14.05629,120.64363
45,Mercury Drugs,Gualberto St. Rosario 4225 Batangas,(043) 321-0644 / (043) 321-0645,13.844238,121.203579
46,Mercury Drugs,J.B. Zuno St. Namuco Rosario 4225 Batangas,(043) 4140283 / (043) 740-4189,13.844238,121.203579
47,Mercury Drugs,Gen. Luna St. San Juan 4226 Batangas,(043) 575-5127 / (043) 740-0468,13.824664,121.396283
48,Mercury Drugs,"Nat'l Hway Zone 1, Poblacion San Pascual 4204 Batangas",(043) 7221305,13.916453,121.086488
49,Mercury Drugs,79 Maharlika Hway Sta. Anastacia Santo Tomas 4234 Batangas,(043) 7743904,14.106866,121.161638
50,Mercury Drugs,Maharlika Hway cor. Capt. Ireneo Sanchez St. Poblacion Santo Tomas 4234 Batangas,(043) 784-0077,14.106866,121.161638
51,Mercury Drugs,A.Mabini Ave. cor. J.P.Laurel Hway Tanauan City 4232 Batangas,(043) 778-1280,13.916453,121.086488
52,Mercury Drugs,Public Market A..Mabini St. Tanauan City 4232 Batangas,(043) 778-7320,14.08644,121.13196
53,Mercury Drugs,Sixto Castillo St. Tanauan City 4232 Batangas,(043) 778-5575,13.916453,121.086488
54,Mercury Drugs,Waltermart Center J.P. Laurel Hway Darasa Tanauan City 4228 Batangas,(043) 784-6394,14.06754,121.15293
55,Mercury Drugs,PR Halili Bldg. 95 A. Bonifacio St. Bonifacio-Caguiao-Rimando ABCR Baguio City 2600 Benguet,(074) 4227858 / (074) 4227593,16.41898,120.59633
